Koodi;Nimike;Saldo;YksikkÃ¶;HÃ¤lytysraja
6050053;PAKKAUSALUSTA NORCON-SAGA (120);3;kpl;15
6050054;PAKKAUSALUSTA NORCON-SAGA (90);21;kpl;15
9010072;PAKKAUSALUSTA AIDA-150 ;0;kpl;0
9010077;PAKKAUSALUSTA AIDA-60;14;kpl;15
901430;PAKKAUKSEN PÄÄTY AIDA /  SAAGA ;28;kpl;30
901431;PAKKAUSELEMENTTISARJA  AIDA -90;8;kpl;30
9602509;PAKKAUS PÄÄTY 142x78 NORCON/AIDA ;42;kpl;30
9010037;NORC. / DELI-60 PAKKAUSALUSTA;14;kpl;15
9010036;NORC. /DELI-90 PAKKAUSALUSTA ;21;kpl;15
9010035;NORC. /DELI-120 PAKKAUSALUSTA;20;kpl;15
;DELIN PÄÄDYT;60;kpl;30
926526;KULMASUOJA BIO/ W 60x60x4x1980 MM;0;kpl;0
926524;KULMASUOJA BIO/ W 60x60x4x1320 MM;0;kpl;0
926525;KULMASUOJA BIO/ W 60x60x4x1420 MM;0;kpl;0
926520;KULMASUOJA BIO/ W 60x60x4x780 MM   ;0;ltk;0
926527;KULMASUOJA BIO/ W 60x60x4x920 MM  ;0;ltk;0
926517;KULMASUOJA BIO/ W 60x60x4x700 MM   ;0;ltk;0
926523;KULMASUOJA BIO/ W 60x60x4x1240 MM;0;ltk;0
926521;KULMASUOJA BIO/ W 60x60x4x2040 MM  ;0;rul;0
926528;KULMASUOJA BIO/ W 60x60x4x640 MM  ;0;rll;0
926503;STYROX REUNASUOJA 65x65x10 MM      ;1710;kpl;1000
;Hakanen N-sarja 44x11 Senco SS;1;kpl;5
;HAKANEN JK 590­22K 22.400 KPL/LTK;1;kpl;2
;Deli-90 Katto;10;kpl;30
;Deli-120 Katto;24;kpl;30
;Deli-60 Katto;50;ltk;30
;Hyllypahvi RCO:lla;1010;m;500
