Koodi;Nimike;Saldo;Yksikkö;Hälytysraja
922123;MUOVIKELMU 0.09x1500x3000 MM ;275;kg;200
922125;MUOVIKELMU 0,05*1250*5000 mm;0;kg;50
9600890;PE-KALVO VALKOINEN;250;kg;100
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;25;kpl;100
926404;TER�SVANNE 16x0.5 MM  BCL MAALATTU ;25;kg;25
8107645;KULJETUSTUKI;4450;kpl;2000
957105;KULJETUSKIINNIKE;3360;kpl;2000
926206;KOLLITARRA;9000;m;100
901111;Lauta 19*100;580;kpl;2000
;ruuvi 5*80;4000;kpl;2000
;ruuvi5*100;3200;LTK;2
;ruuvi 5*50;3000;kpl;2000
;ruuvi 6,3*25;4;kpl;1
;ruuvi 6,3*40;3000;kpl;1000
;ruuvi 5*35;3000;ltk;8
;Poraruuvi wurth 6*85;10;ltk;10
;Levyruuvi 6,3*19;1600;ltk;10
;Hakanen N-sarja 50x11 + 44mm Senco;6;ltk;1
;Senco 4,5*75;6;rul;2
;Senco 4,2*45;13;rll;1
;Hakanen R-140 10x10,7;0;kpl;100
9602361;Varoitus sidonta-teippi;145;kpl;10
;GLAS-varoitusteippi;18;kpl;10
;Ketjunkuva-teippi;21;kpl;20
S/929;V�LIPUU 47*100;320;kpl;100
S/926;V�LIPUU 32*100;645;kpl;100
S/925;V�LIPUU 19*100;340;kpl;2000
;L-lista PA-HU 2040mm;780;kpl;10000
;L-lista PA-HU 2220mm;520;ltk;6
;PAHVIKULMA 4 X 60 X 60 X 600 MM;0;m;12
;SUKSI (LYHYT);54;kpl;100
;SUKSI (PITK�);24;kpl;100
;P��TY;58;kpl;500
