Koodi;Nimike;Saldo;Yksikkö;Hälytysraja
922123;MUOVIKELMU 0.09x1500x3000 MM ;100;kg;200
922125;MUOVIKELMU 0,05*1250*5000 mm;60;kg;50
9600890;PE-KALVO VALKOINEN;125;kg;100
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;234;kpl;100
926404;TER�SVANNE 16x0.5 MM  BCL MAALATTU ;1039;kg;25
8107645;KULJETUSTUKI;5000;kpl;2000
957105;KULJETUSKIINNIKE;1500;kpl;2000
901111;Lauta 19*100;500;m;100
0;ruuvi 5*80;3000;kpl;2000
0;ruuvi 5*50;1500;kpl;2000
0;ruuvi 6,3*25;4;LTK;2
0;ruuvi 6,3*40;1000;kpl;2000
0;Poraruuvi wurth 6*85;1;kpl;1
0;Levyruuvi 6,3*19;2600;kpl;1000
0;Hakanen N-sarja 50x11 + 44mm Senco;11;ltk;8
0;Senco 4,5*75;13;ltk;10
0;Senco 4,2*45;9;ltk;10
0;Hakanen R-140 10x10,7;1;ltk;1
9602361;Varoitus sidonta-teippi;3;rul;2
0;GLAS-varoitusteippi;6;rll;1
S/926;V�LIPUU 32*100;430;kpl;100
0;SUKSI (LYHYT);6;kpl;10
0;SUKSI (PITK�);60;kpl;10
0;P��TY;46;kpl;20
S/925;V�LIIPUU 19*100;70;kpl;100
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;240;kpl;100
0;ruuvi 5*50;3500;kpl;2000
926206;KOLLITARRA;9000;kpl;10000
45RH75MRB;Senco 4,5*75;23;ltk;6
9600312;Ketjunkuva-teippi;40;m;12
S/929;V�LIPUU 47*100;100;kpl;100
S/926;V�LIPUU 32*100;300;kpl;100
926522;L-lista PA-HU 2220mm;23;kpl;500
9600375;SUKSI (PITK�);23;kpl;10
9604202;�L� NOSTA T�ST�-TEIPPI;23;m;12
922124;K�SIKIRISTEKALVO 450X0,017MM       ;23;m;12
926119;PAKKAUSTEIPPI 38 MM 66 M POLYPROP. ;23;m;48
926146;PAKKAUSTEIPPI 19 MM KELT.;53;rll;50
926129;PAKKAUSTEIPPI 50 MM KELT.;23;rll;50
926327;S-PEHMUSTE 0,80MM 60CM X 700M;4;m;2
926507;MC-100 SIDONTAKALVO 20MY 150M (MINIWRAPPER);23;rll;12
