Koodi;Nimike;Saldo;YksikkÃ¶
922123;MUOVIKELMU 0.09x1500x3000 MM ;700;kg
922125;MUOVIKELMU 0,05*1250*5000 mm;1;kg
9600890;PE-KALVO VALKOINEN;123;kg
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;234;kpl
926404;TERï¿½SVANNE 16x0.5 MM  BCL MAALATTU ;400;kg
8107645;KULJETUSTUKI;5000;kpl
957105;KULJETUSKIINNIKE;400;kpl
926206;KOLLITARRA;234;kpl
901111;Lauta 19*100;500;m
0;ruuvi 5*80;3000;kpl
0;ruuvi5*100;3000;kpl
0;ruuvi 5*50;3500;kpl
0;ruuvi 6,3*25;4;LTK
0;ruuvi 6,3*40;3000;kpl
0;ruuvi 5*35;6000;kpl
0;Poraruuvi wurth 6*85;1;kpl
0;Levyruuvi 6,3*19;1600;kpl
0;Hakanen N-sarja 50x11 + 44mm Senco;9;ltk
0;Senco 4,5*75;12;ltk
0;Senco 4,2*45;14;ltk
0;Hakanen R-140 10x10,7;1;ltk
9602361;Varoitus sidonta-teippi;1;rul
0;GLAS-varoitusteippi;6;rll
0;Ketjunkuva-teippi;3;rul
S/929;Vï¿½LIPUU 47*100;218;kpl
S/926;Vï¿½LIPUU 32*100;430;kpl
S/925;Vï¿½LIPUU 19*100;270;kpl
0;L-lista PA-HU 2040mm;2210;kpl
0;L-lista PA-HU 2220mm;940;kpl
0;PAHVIKULMA 4 X 60 X 60 X 600 MM;1;kpl
0;SUKSI (LYHYT);90;kpl
0;SUKSI (PITKï¿½);60;kpl
0;Pï¿½ï¿½TY;46;kpl
957105;KULJETUSKIINNIKE;6000;kpl
901111;Lauta 19*100;400;m
;Pahvipalikka;234;
;Delipahvi;123;
S/925;Vï¿½LIPUU 19*100;270;kpl
0;ruuvi5*100;3000;kpl
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;240;kpl
0;ruuvi 5*50;3500;kpl
926206;KOLLITARRA;55000;kpl
;Pahvipakkaus;123;
0;L-lista PA-HU 2040mm;2210;kpl
926119;teippi (kirkas) 38 mm;234;kpl
9600890;PE-KALVO VALKOINEN;-6;m
9600313;TEIPPI 51662 50x60 VAROITUSTEKSTIT JA SUUNTANUOLET;-0,5;m
926206;KOLLITARRA;-6;kpl
1,78115E+13;ruuvi5*100;-4;kpl
1,53178E+13;ruuvi 5*35;-8;kpl
45RH75MRB;Senco 4,5*75;-0,125;ltk
9600312;Ketjunkuva-teippi;-0,8;m
S/929;VÄLIPUU 47*100;-2;kpl
S/926;VÄLIPUU 32*100;-2;kpl
926522;L-lista PA-HU 2220mm;-6;kpl
9600375;SUKSI (PITKÄ);-2;kpl
9604202;ÄLÄ NOSTA TÄSTÄ TEIPPI;-2;m
922124;KÄSIKIRISTEKALVO 450X0,017MM       ;-12;m
926119;PAKKAUSTEIPPI 38 MM 66 M POLYPROP. ;-20;m
926146;PAKKAUSTEIPPI 19 MM KELT.;-0,6;m
926129;PAKKAUSTEIPPI 50 MM KELT.;-5;m
926327;S-PEHMUSTE 0,80MM 60CM X 700M;-4;m
926507;MC-100 SIDONTAKALVO 20MY 150M (MINIWRAPPER);-8;m
